"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"31692","COLEC12",3,562,0.0157976759499477,0.678,4.27349996566772
"31693","SAMD8",3,205,0.0156097440765913,0.617,4.35756897926331
"31694","MSL3",3,203,-0.0939754200599183,0.059,4.87599205970764
"4260","SLC11A1",4,2643,-0.00763766397998305,0.346,5.07880401611328
"31695","KCTD1",3,247,-0.0530250682596704,0.157,3.7113950252533
"31696","KCTD15",3,247,-0.0299706907554659,0.289,4.17149996757507
"4261","SHPK",4,1145,-0.0361029587603262,0.058,4.27224016189575
"31697","ANXA5",3,96,-0.0966366741780882,0.127,4.66527104377747
"31698","IGFBP2",3,484,0.0170587763023898,0.667,4.26435804367065
"21012","IGFBP4",2,23,0.214461027134396,0.876,3.87773489952087
"31699","IGFBP5",3,516,0.0177618225390494,0.678,4.37420392036438
"21013","PAPPA",2,15,-0.130120009726471,0.296,3.9985671043396
"31700","TRPV2",3,454,0.0351778077803714,0.811,4.18137216567993
"31701","CTU1",3,40,-0.0370515313392832,0.404,4.55881404876709
"21014","ACSM1",2,39,-0.166861878716046,0.128,3.71456909179688
"31702","APBA2",3,614,0.0100361289654719,0.632,4.28406691551208
"124","NAE1",1,0,NA,1,4.57608914375305
"31703","HOXB13",3,412,0.0130755760147209,0.602,3.77580809593201
"31704","PATZ1",3,412,0.0034990978067563,0.525,4.22427582740784
"31705","SPDEF",3,415,-0.0337719999801388,0.191,3.88866281509399
"31706","MAK",3,412,-0.0111418640688819,0.384,4.1905529499054
"31707","PAWR",3,1223,0.0264975324680741,0.877,4.45018601417542
"31708","ZMIZ2",3,738,-0.0200268252395989,0.25,3.91227602958679
"31709","HHAT",3,263,0.100702522880892,0.972,4.81115293502808
"31710","SCUBE2",3,263,0.0532832764686897,0.856,4.83924007415771
"31711","DISP2",3,263,0.0442429262195033,0.821,4.41578507423401
"4262","FAIM2",4,2207,0.0245760868918417,0.93,4.76743817329407
"21015","RNF128",2,21,0.123442679969674,0.717,4.31413793563843
"31712","SASH3",3,371,0.0480298461058891,0.881,3.75165295600891
"4263","IL18BP",4,1408,-0.0238131835838992,0.144,4.61862087249756
"31713","ILF3",3,484,-0.00423510182720187,0.456,3.76454305648804
"4264","ZFR",4,557,-0.0441749370752372,0.087,4.35454106330872
"31714","PPP1R14C",3,281,0.0432969194384057,0.788,5.76924514770508
"31715","PHPT1",3,94,-0.0897249719290089,0.143,4.20625615119934
"31716","ISYNA1",3,354,-0.0663800557580781,0.052,4.98297381401062
"4265","FSTL3",4,1109,-0.0296026376483365,0.117,4.59104895591736
"31717","CPE",3,652,0.00479826422037987,0.537,4.59349393844604
